Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.20     0.00    64098     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      0.20     0.00    57384     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >::base() const
  0.00      0.20     0.00    52896     0.00     0.00  Wolf&& std::forward<Wolf>(std::remove_reference<Wolf>::type&)
  0.00      0.20     0.00    49529     0.00     0.00  Animal::move()
  0.00      0.20     0.00    48366     0.00     0.00  void __gnu_cxx::new_allocator<Sheep>::construct<Sheep, Sheep>(Sheep*, Sheep&&)
  0.00      0.20     0.00    48366     0.00     0.00  void std::allocator_traits<std::allocator<Sheep> >::construct<Sheep, Sheep>(std::allocator<Sheep>&, Sheep*, Sheep&&)
  0.00      0.20     0.00    47081     0.00     0.00  void __gnu_cxx::new_allocator<Sheep>::destroy<Sheep>(Sheep*)
  0.00      0.20     0.00    47081     0.00     0.00  void std::allocator_traits<std::allocator<Sheep> >::destroy<Sheep>(std::allocator<Sheep>&, Sheep*)
  0.00      0.20     0.00    47081     0.00     0.00  void std::__relocate_object_a<Sheep, Sheep, std::allocator<Sheep> >(Sheep*, Sheep*, std::allocator<Sheep>&)
  0.00      0.20     0.00    46427     0.00     0.00  rand_double()
  0.00      0.20     0.00    46427     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00      0.20     0.00    46427     0.00     0.00  std::uniform_real_distribution<double>::param_type::param_type(double, double)
  0.00      0.20     0.00    46427     0.00     0.00  std::uniform_real_distribution<double>::uniform_real_distribution(double, double)
  0.00      0.20     0.00    46427     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.20     0.00    46427     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
  0.00      0.20     0.00    46427     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.20     0.00    46427     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  0.00      0.20     0.00    46427     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.20     0.00    43529     0.00     0.00  Wolf const& std::forward<Wolf const&>(std::remove_reference<Wolf const&>::type&)
  0.00      0.20     0.00    40950     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::size() const
  0.00      0.20     0.00    38140     0.00     0.00  std::_Vector_base<Sheep, std::allocator<Sheep> >::_M_get_Tp_allocator()
  0.00      0.20     0.00    38017     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::end()
