Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.31     0.00    26397     0.00     0.00  Wolf* std::__niter_base<Wolf*>(Wolf*)
  0.00      0.31     0.00    25328     0.00     0.00  __gnu_cxx::__normal_iterator<Wolf const*, std::vector<Wolf, std::allocator<Wolf> > >::base() const
  0.00      0.31     0.00    24100     0.00     0.00  Patch::setColor(Patch::Color)
  0.00      0.31     0.00    19183     0.00     0.00  __gnu_cxx::__normal_iterator<Wolf*, std::vector<Wolf, std::allocator<Wolf> > >::__normal_iterator(Wolf* const&)
  0.00      0.31     0.00    18533     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::size() const
  0.00      0.31     0.00    17114     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.31     0.00    12969     0.00     0.00  __gnu_cxx::new_allocator<Wolf>::_M_max_size() const
  0.00      0.31     0.00    12816     0.00     0.00  __gnu_cxx::new_allocator<Sheep>::_M_max_size() const
  0.00      0.31     0.00    11927     0.00     0.00  bool __gnu_cxx::operator!=<Wolf const*, std::vector<Wolf, std::allocator<Wolf> > >(__gnu_cxx::__normal_iterator<Wolf const*, std::vector<Wolf, std::allocator<Wolf> > > const&, __gnu_cxx::__normal_iterator<Wolf const*, std::vector<Wolf, std::allocator<Wolf> > > const&)
  0.00      0.31     0.00    11861     0.00     0.00  __gnu_cxx::__normal_iterator<Wolf const*, std::vector<Wolf, std::allocator<Wolf> > >::operator++()
  0.00      0.31     0.00    11861     0.00     0.00  __gnu_cxx::__normal_iterator<Wolf const*, std::vector<Wolf, std::allocator<Wolf> > >::operator*() const
  0.00      0.31     0.00    11861     0.00     0.00  void std::_Construct<Wolf, Wolf const&>(Wolf*, Wolf const&)
  0.00      0.31     0.00    11005     0.00     0.00  bool __gnu_cxx::operator!=<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >(__gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > > const&, __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > > const&)
  0.00      0.31     0.00    10954     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >::operator++()
  0.00      0.31     0.00    10954     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep const*, std::vector<Sheep, std::allocator<Sheep> > >::operator*() const
  0.00      0.31     0.00    10954     0.00     0.00  void std::_Construct<Sheep, Sheep const&>(Sheep*, Sheep const&)
  0.00      0.31     0.00     9669     0.00     0.00  std::_Vector_base<Wolf, std::allocator<Wolf> >::_M_get_Tp_allocator()
  0.00      0.31     0.00     9473     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::end()
  0.00      0.31     0.00     8602     0.00     0.00  __gnu_cxx::new_allocator<Wolf>::max_size() const
  0.00      0.31     0.00     8602     0.00     0.00  std::_Vector_base<Wolf, std::allocator<Wolf> >::_M_get_Tp_allocator() const
  0.00      0.31     0.00     8602     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::max_size() const
  0.00      0.31     0.00     8602     0.00     0.00  std::allocator_traits<std::allocator<Wolf> >::max_size(std::allocator<Wolf> const&)
  0.00      0.31     0.00     8602     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::_S_max_size(std::allocator<Wolf> const&)
  0.00      0.31     0.00     8602     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::_S_relocate(Wolf*, Wolf*, Wolf*, std::allocator<Wolf>&)
  0.00      0.31     0.00     8602     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::_S_do_relocate(Wolf*, Wolf*, Wolf*, std::allocator<Wolf>&, std::integral_constant<bool, true>)
  0.00      0.31     0.00     8602     0.00     0.00  Wolf* std::__relocate_a<Wolf*, Wolf*, std::allocator<Wolf> >(Wolf*, Wolf*, Wolf*, std::allocator<Wolf>&)
  0.00      0.31     0.00     8602     0.00     0.00  Wolf* std::__relocate_a_1<Wolf*, Wolf*, std::allocator<Wolf> >(Wolf*, Wolf*, Wolf*, std::allocator<Wolf>&)
  0.00      0.31     0.00     8556     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.31     0.00     8510     0.00     0.00  __gnu_cxx::new_allocator<Sheep>::max_size() const
  0.00      0.31     0.00     8510     0.00     0.00  std::_Vector_base<Sheep, std::allocator<Sheep> >::_M_get_Tp_allocator() const
  0.00      0.31     0.00     8510     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::max_size() const
  0.00      0.31     0.00     8510     0.00     0.00  std::allocator_traits<std::allocator<Sheep> >::max_size(std::allocator<Sheep> const&)
  0.00      0.31     0.00     8510     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::_S_max_size(std::allocator<Sheep> const&)
  0.00      0.31     0.00     8510     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::_S_relocate(Sheep*, Sheep*, Sheep*, std::allocator<Sheep>&)
  0.00      0.31     0.00     8510     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::_S_do_relocate(Sheep*, Sheep*, Sheep*, std::allocator<Sheep>&, std::integral_constant<bool, true>)
  0.00      0.31     0.00     8510     0.00     0.00  Sheep* std::__relocate_a<Sheep*, Sheep*, std::allocator<Sheep> >(Sheep*, Sheep*, Sheep*, std::allocator<Sheep>&)
  0.00      0.31     0.00     7320     0.00     0.00  __gnu_cxx::__normal_iterator<Patch const*, std::vector<Patch, std::allocator<Patch> > >::base() const
  0.00      0.31     0.00     6830     0.00     0.00  Animal::Animal(int, int, int)
  0.00      0.31     0.00     5539     0.00     0.00  std::vector<Wolf, std::allocator<Wolf> >::begin()
  0.00      0.31     0.00     4868     0.00     0.00  std::_Vector_base<Wolf, std::allocator<Wolf> >::_M_deallocate(Wolf*, unsigned long)
  0.00      0.31     0.00     4807     0.00     0.00  std::_Vector_base<Sheep, std::allocator<Sheep> >::_M_deallocate(Sheep*, unsigned long)
  0.00      0.31     0.00     4367     0.00     0.00  __gnu_cxx::new_allocator<Wolf>::deallocate(Wolf*, unsigned long)
  0.00      0.31     0.00     4367     0.00     0.00  __gnu_cxx::new_allocator<Wolf>::allocate(unsigned long, void const*)
  0.00      0.31     0.00     4367     0.00     0.00  std::_Vector_base<Wolf, std::allocator<Wolf> >::_M_allocate(unsigned long)
  0.00      0.31     0.00     4367     0.00     0.00  std::allocator_traits<std::allocator<Wolf> >::deallocate(std::allocator<Wolf>&, Wolf*, unsigned long)
  0.00      0.31     0.00     4367     0.00     0.00  std::allocator_traits<std::allocator<Wolf> >::allocate(std::allocator<Wolf>&, unsigned long)
  0.00      0.31     0.00     4306     0.00     0.00  __gnu_cxx::new_allocator<Sheep>::deallocate(Sheep*, unsigned long)
  0.00      0.31     0.00     4306     0.00     0.00  __gnu_cxx::new_allocator<Sheep>::allocate(unsigned long, void const*)
  0.00      0.31     0.00     4306     0.00     0.00  std::_Vector_base<Sheep, std::allocator<Sheep> >::_M_allocate(unsigned long)
